departement;cp;commune;nb_redevables;patrimoine_moyen;impot_moyen
SEINE-SAINT-DENIS             ;93001;AUBERVILLIERS                                     ;50;2308080;10061
AISNE                         ;2722;SOISSONS                                          ;153;2306395;8971
LOT-ET-GARONNE                ;47001;AGEN                                              ;99;2306231;9364
SEINE-SAINT-DENIS             ;93005;AULNAY SOUS BOIS                                  ;156;2303192;9001
VAL-DE-MARNE                  ;94022;CHOISY LE ROI                                     ;78;2303068;10196
AVEYRON                       ;12145;MILLAU                                            ;62;2302853;9522
ILLE-ET-VILAINE               ;35115;FOUGERES                                          ;65;2302531;8341
VAL-D'OISE                    ;95582;SANNOIS                                           ;66;2301515;7959
VIENNE                        ;86066;CHATELLERAULT                                     ;75;2297865;9957
ALLIER                        ;3310;VICHY                                             ;158;2297374;10563
LOIRET                        ;45234;ORLEANS                                           ;531;2296904;9150
HAUTE-GARONNE                 ;31069;BLAGNAC                                           ;85;2293842;9206
PAS-DE-CALAIS                 ;62193;CALAIS                                            ;96;2292722;9220
HAUT-RHIN                     ;68297;SAINT LOUIS                                       ;54;2291762;9244
VAL-DE-MARNE                  ;94018;CHARENTON LE PONT                                 ;406;2290558;8599
SEINE-ET-MARNE                ;77284;MEAUX                                             ;134;2289189;8934
COTE-D'OR                     ;21054;BEAUNE                                            ;132;2288373;6594
RHONE                         ;69029;BRON                                              ;149;2288224;8497
ORNE                          ;61001;ALENCON                                           ;80;2276305;8527
LOIR-ET-CHER                  ;41018;BLOIS                                             ;156;2276272;9085
HAUTS-DE-SEINE                ;92009;BOIS-COLOMBES                                     ;290;2274372;7807
HAUTS-DE-SEINE                ;92075;VANVES                                            ;322;2273617;8142
VAL-DE-MARNE                  ;94028;CRETEIL                                           ;209;2271618;8914
HAUTS-DE-SEINE                ;92035;LA GARENNE COLOMBES                               ;291;2270569;8479
PAS-DE-CALAIS                 ;62119;BETHUNE                                           ;99;2268317;7835
GIRONDE                       ;33449;SAINT-MEDARD-EN-JALLES                            ;84;2268027;7878
VAL-DE-MARNE                  ;94080;VINCENNES                                         ;930;2267065;8586
HAUTE-GARONNE                 ;31395;MURET                                             ;77;2266190;9793
ALPES-MARITIMES               ;6083;MENTON                                            ;190;2265743;8841
HAUTES-ALPES                  ;5061;GAP                                               ;196;2262907;7887
HAUTS-DE-SEINE                ;92023;CLAMART                                           ;602;2256389;8256
TARN                          ;81004;ALBI                                              ;183;2255901;8669
LOIRE-ATLANTIQUE              ;44190;ST SEBASTIEN SUR LOIRE                            ;85;2255663;9077
TARN                          ;81065;CASTRES                                           ;131;2254559;7754
HAUTS-DE-SEINE                ;92040;ISSY LES MOULINEAUX                               ;721;2253891;8038
ESSONNE                       ;91421;MONTGERON                                         ;146;2250160;9426
VAR                           ;83069;HYERES                                            ;479;2249944;8214
SEINE-SAINT-DENIS             ;93066;SAINT DENIS                                       ;51;2243866;7658
NORD                          ;59183;DUNKERQUE                                         ;232;2241378;8332
AUDE                          ;11069;CARCASSONNE                                       ;138;2234331;8466
AISNE                         ;2408;LAON                                              ;68;2233576;7946
ESSONNE                       ;91272;GIF SUR YVETTE                                    ;342;2232455;8209
VAL-DE-MARNE                  ;94071;SUCY EN BRIE                                      ;172;2231952;7951
YONNE                         ;89024;AUXERRE                                           ;117;2231882;8835
ESSONNE                       ;91174;CORBEIL ESSONNES                                  ;59;2231777;8507
SEINE-SAINT-DENIS             ;93051;NOISY LE GRAND                                    ;133;2229840;9519
GIRONDE                       ;33281;MERIGNAC                                          ;228;2228867;8561
LOIRE-ATLANTIQUE              ;44184;ST NAZAIRE                                        ;167;2227072;9792
MARNE                         ;51108;CHALONS EN CHAMPAGNE                              ;123;2224775;8243
MEURTHE-ET-MOSELLE            ;54547;VANDOEUVRE LES NANCY                              ;64;2223848;8363
LOIRET                        ;45232;OLIVET                                            ;168;2222554;8664
AIN                           ;1053;BOURG-EN-BRESSE                                   ;149;2221432;9164
HAUTS-DE-SEINE                ;92062;PUTEAUX                                           ;287;2220582;8043
PARIS                         ;75120;PARIS                                             ;1032;2217393;8393
HAUTE-SAVOIE                  ;74010;ANNECY                                            ;442;2217120;7830
ISERE                         ;38544;VIENNE                                            ;125;2213546;8171
VAR                           ;83137;TOULON                                            ;616;2212802;8274
